what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1335452111415
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1335452112679
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452113786
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452121633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452127374
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452212238
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1335452215140
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1335452215701
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1335452215857
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1335452216029
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1335452218556
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452222238
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452274919
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335452276557
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335452277118
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1335452278772
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452291907
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452719002
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452722481
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452722496
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452722512
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452801042
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335452814630
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335453803813
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335453827057
