what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1335363721674
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363721924
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1335363721939
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363727493
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363728117
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1335363728132
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363732859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363760924
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1335363774059
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1335363776118
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363794011
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363795322
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335363797662
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335363798005
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363807661
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335363833757
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1335363842727
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1335363847485
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1335363849404
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1335363858015
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335363864770
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335363865144
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335363865456
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335363865737
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1335363866049
