what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368215141
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368215156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368216061
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368376060
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335368377464
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368379211
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368381192
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335368391457
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1335368402065
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368413515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368420098
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368421190
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368457102
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335368457148
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368458412
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368459988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368467335
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368467335
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368469613
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368769538
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368769850
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335368817791
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368820677
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1335368822112
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335368825295
