what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1334937238918
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937265750
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937305031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937319886
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937319933
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937319948
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937331180
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937332990
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937333910
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1334937333910
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937340587
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937420054
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1334937422066
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1334937423236
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1334937440630
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1334937452923
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937462096
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937630471
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1334937635962
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1334937637195
started,bundle,org.eclipse.wst.ws.service.policy,1.0.3.v200811261813,org.eclipse.wst.ws.service.policy,1334937648255
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1334937648396
started,bundle,org.eclipse.wst.ws,1.1.3.v200902042200,org.eclipse.wst.ws,1334937648396
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937648770
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1334937657756
