what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335500933731
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500934043
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500934152
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1335500935790
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335500941469
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500946149
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500949128
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500954120
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500961031
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500961421
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500961530
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335500965618
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500966772
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500967396
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1335500967412
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500972201
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500977973
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500978347
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500978394
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1335500980360
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500982746
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500985040
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500988908
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1335500990765
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1335500993573
